student_id,status,tests_passed,tests_failed,total_score,note
B00906607,repaired,25,0,20.0,
B00993732,needs-manual-review,0,25,0.0,
B01006183,needs-manual-review,0,25,0.0,
B01019743,repaired,0,25,0.0,
B01042677,needs-manual-review,4,21,3.2,
B01043907,repaired,22,3,17.6,
B01046152,needs-manual-review,1,24,0.8,
B01050731,needs-manual-review,0,25,0.0,
B01055680,needs-manual-review,25,0,20.0,[java] 
B01060013,repaired,25,0,20.0,
B01061084,needs-manual-review,0,25,0.0,
B01061183,repaired,25,0,20.0,
B01061829,repaired,25,0,20.0,
B01061839,repaired,25,0,20.0,
B01062056,needs-manual-review,1,24,0.8,
B01062784,repaired,0,25,0.0,
B01063375,needs-manual-review,4,21,3.2,
B01063628,repaired,22,3,17.6,
B01069659,needs-manual-review,0,0,0.0,"[java] compile error: C:\Users\danz3\AppData\Local\Temp\jgrade_B01069659_6ebbque5\Solution.java:3: error: illegal start of expression public static int maxValidWindowSum(int[] nums, int k"
B01072737,repaired,25,0,20.0,
B01072761,repaired,22,3,17.6,
B01073119,repaired,25,0,20.0,
B01074478,repaired,0,25,0.0,
B01074783,repaired,25,0,20.0,
B01074900,needs-manual-review,23,2,18.4,[java] 
B01075554,pseudocode,0,25,0,no fixed file
B01077623,needs-manual-review,4,21,3.2,
B01077715,repaired,3,22,2.4,
B01077893,needs-manual-review,0,0,0.0,[java] compile error: C:\Users\danz3\AppData\Local\Temp\jgrade_B01077893_jax08304\Solution.java:32: error: missing return statement     }     ^ 1 error
B01077946,repaired,25,0,20.0,
B01084139,repaired,25,0,20.0,
B01084354,repaired,25,0,20.0,
B01090335,repaired,25,0,20.0,
B01092729,repaired,21,4,16.8,
B01093996,needs-manual-review,4,21,3.2,
B01095016,needs-manual-review,11,14,8.8,[java] 
B01096960,repaired,22,3,17.6,[java] 
B01097725,needs-manual-review,4,21,3.2,
B01109304,repaired,22,3,17.6,
B01111528,repaired,8,17,6.4,
B01121023,needs-manual-review,4,21,3.2,
B01121801,repaired,25,0,20.0,
B01123621,repaired,3,22,2.4,
B01125201,repaired,4,21,3.2,
B01126505,needs-manual-review,0,0,0.0,[java] compile error: C:\Users\danz3\AppData\Local\Temp\jgrade_B01126505_ro3968jl\Solution.java:14: error: cannot find symbol    if(r-l+1>k) {       ^   symbol:   variable r   location: c
B01126541,repaired,0,25,0.0,
B01126559,repaired,25,0,20.0,
B01129735,needs-manual-review,0,25,0.0,
B01131708,repaired,25,0,20.0,
B01132267,needs-manual-review,4,21,3.2,
B01132822,repaired,25,0,20.0,
B01132918,repaired,20,5,16.0,
B01133126,repaired,25,0,20.0,
B01137729,needs-manual-review,4,21,3.2,
B01137834,needs-manual-review,4,21,3.2,
B01138859,repaired,24,1,19.2,[java] 
B01140660,repaired,25,0,20.0,
B01142869,repaired,16,9,12.8,
B01143122,repaired,25,0,20.0,
B01143435,needs-manual-review,0,25,0.0,
B01143466,repaired,22,3,17.6,
B01144248,needs-manual-review,0,25,0.0,
B01144790,repaired,25,0,20.0,
B01145039,needs-manual-review,4,21,3.2,
B01146794,needs-manual-review,22,3,17.6,
B01150044,pseudocode,0,25,0,no fixed file
B01156268,repaired,6,19,4.8,
B01159005,repaired,22,3,17.6,
B01163705,needs-manual-review,4,21,3.2,
B01164020,repaired,22,3,17.6,
B01170355,needs-manual-review,0,25,0.0,
B01171535,repaired,25,0,20.0,
B01171723,repaired,25,0,20.0,
B01172719,repaired,25,0,20.0,
