student_id,detected_language,attempt_num,raw_path,status
B00906607,python,1,problem2\raw\B00906607.txt,repaired
B00993732,empty,1,problem2\raw\B00993732.txt,empty
B01006183,python,1,problem2\raw\B01006183.txt,repaired
B01019743,python,1,problem2\raw\B01019743.txt,repaired
B01042677,python,1,problem2\raw\B01042677.txt,repaired
B01043907,python,1,problem2\raw\B01043907.txt,repaired
B01046152,python,1,problem2\raw\B01046152.txt,repaired
B01050731,python,1,problem2\raw\B01050731.txt,repaired
B01055680,java,1,problem2\raw\B01055680.txt,needs-manual-review
B01060013,python,1,problem2\raw\B01060013.txt,repaired
B01061084,python,1,problem2\raw\B01061084.txt,repaired
B01061183,python,1,problem2\raw\B01061183.txt,repaired
B01061829,python,1,problem2\raw\B01061829.txt,repaired
B01061839,python,1,problem2\raw\B01061839.txt,repaired
B01062056,python,1,problem2\raw\B01062056.txt,repaired
B01062784,python,1,problem2\raw\B01062784.txt,repaired
B01063375,pseudocode,1,problem2\raw\B01063375.txt,pseudocode
B01063628,python,1,problem2\raw\B01063628.txt,repaired
B01069659,java,1,problem2\raw\B01069659.txt,needs-manual-review
B01072737,java,1,problem2\raw\B01072737.txt,needs-manual-review
B01072761,python,1,problem2\raw\B01072761.txt,repaired
B01073119,python,1,problem2\raw\B01073119.txt,repaired
B01074478,python,1,problem2\raw\B01074478.txt,repaired
B01074783,python,1,problem2\raw\B01074783.txt,repaired
B01075554,pseudocode,1,problem2\raw\B01075554.txt,pseudocode
B01077623,python,1,problem2\raw\B01077623.txt,needs-manual-review
B01077715,python,2,problem2\raw\B01077715.txt,needs-manual-review
B01077893,pseudocode,1,problem2\raw\B01077893.txt,pseudocode
B01077946,python,1,problem2\raw\B01077946.txt,repaired
B01084139,python,1,problem2\raw\B01084139.txt,repaired
B01084354,python,1,problem2\raw\B01084354.txt,repaired
B01090335,python,1,problem2\raw\B01090335.txt,repaired
B01092729,python,1,problem2\raw\B01092729.txt,needs-manual-review
B01093996,python,1,problem2\raw\B01093996.txt,needs-manual-review
B01095016,java,1,problem2\raw\B01095016.txt,needs-manual-review
B01096960,java,1,problem2\raw\B01096960.txt,needs-manual-review
B01097725,pseudocode,1,problem2\raw\B01097725.txt,pseudocode
B01109304,python,1,problem2\raw\B01109304.txt,repaired
B01111528,empty,1,problem2\raw\B01111528.txt,empty
B01121023,python,1,problem2\raw\B01121023.txt,repaired
B01121801,python,1,problem2\raw\B01121801.txt,repaired
B01123621,python,1,problem2\raw\B01123621.txt,repaired
B01125201,empty,2,problem2\raw\B01125201.txt,empty
B01126505,java,1,problem2\raw\B01126505.txt,needs-manual-review
B01126541,python,2,problem2\raw\B01126541.txt,repaired
B01126559,python,1,problem2\raw\B01126559.txt,repaired
B01129735,python,1,problem2\raw\B01129735.txt,repaired
B01131708,python,1,problem2\raw\B01131708.txt,repaired
B01132267,python,1,problem2\raw\B01132267.txt,needs-manual-review
B01132822,python,1,problem2\raw\B01132822.txt,repaired
B01132918,python,1,problem2\raw\B01132918.txt,repaired
B01133126,python,1,problem2\raw\B01133126.txt,repaired
B01137729,python,1,problem2\raw\B01137729.txt,needs-manual-review
B01137834,python,1,problem2\raw\B01137834.txt,repaired
B01138859,java,1,problem2\raw\B01138859.txt,needs-manual-review
B01140660,python,1,problem2\raw\B01140660.txt,repaired
B01142869,python,1,problem2\raw\B01142869.txt,repaired
B01143122,python,1,problem2\raw\B01143122.txt,repaired
B01143435,python,1,problem2\raw\B01143435.txt,needs-manual-review
B01143466,python,1,problem2\raw\B01143466.txt,repaired
B01144248,python,1,problem2\raw\B01144248.txt,repaired
B01144790,python,1,problem2\raw\B01144790.txt,repaired
B01145039,python,1,problem2\raw\B01145039.txt,needs-manual-review
B01146794,python,1,problem2\raw\B01146794.txt,repaired
B01150044,pseudocode,1,problem2\raw\B01150044.txt,pseudocode
B01156268,python,1,problem2\raw\B01156268.txt,repaired
B01159005,python,1,problem2\raw\B01159005.txt,repaired
B01163705,python,2,problem2\raw\B01163705.txt,repaired
B01164020,python,1,problem2\raw\B01164020.txt,repaired
B01170355,python,1,problem2\raw\B01170355.txt,repaired
B01171535,python,1,problem2\raw\B01171535.txt,repaired
B01171723,python,1,problem2\raw\B01171723.txt,repaired
B01172719,python,1,problem2\raw\B01172719.txt,repaired
