student_id,status,tests_passed,tests_failed,total_score,notes
B00906607,repaired,0,10,0.0,
B00993732,empty,N/A,N/A,0,skipped (empty)
B01006183,repaired,2,8,4.0,
B01019743,repaired,1,9,2.0,
B01042677,repaired,10,0,20.0,
B01043907,repaired,0,10,0.0,
B01046152,repaired,10,0,20.0,
B01050731,repaired,2,8,4.0,
B01055680,needs-manual-review,0,10,0.0,needs-manual-review
B01060013,repaired,10,0,20.0,
B01061084,repaired,0,10,0.0,
B01061183,repaired,10,0,20.0,
B01061829,repaired,2,8,4.0,
B01061839,repaired,10,0,20.0,
B01062056,repaired,2,8,4.0,
B01062784,repaired,0,10,0.0,
B01063375,pseudocode,N/A,N/A,0,skipped (pseudocode)
B01063628,repaired,10,0,20.0,
B01069659,needs-manual-review,0,10,0.0,needs-manual-review
B01072737,needs-manual-review,0,10,0.0,needs-manual-review
B01072761,repaired,10,0,20.0,
B01073119,repaired,10,0,20.0,
B01074478,repaired,10,0,20.0,
B01074783,repaired,10,0,20.0,
B01075554,pseudocode,N/A,N/A,0,skipped (pseudocode)
B01077623,repaired,0,10,0.0,
B01077715,repaired,0,10,0.0,
B01077893,pseudocode,N/A,N/A,0,skipped (pseudocode)
B01077946,repaired,10,0,20.0,
B01084139,repaired,10,0,20.0,
B01084354,repaired,10,0,20.0,
B01090335,repaired,10,0,20.0,
B01092729,needs-manual-review,0,10,0.0,needs-manual-review
B01093996,needs-manual-review,0,10,0.0,needs-manual-review
B01095016,needs-manual-review,0,10,0.0,needs-manual-review
B01096960,needs-manual-review,0,10,0.0,needs-manual-review
B01097725,pseudocode,N/A,N/A,0,skipped (pseudocode)
B01109304,repaired,10,0,20.0,
B01111528,empty,N/A,N/A,0,skipped (empty)
B01121023,repaired,10,0,20.0,
B01121801,repaired,0,10,0.0,
B01123621,repaired,1,9,2.0,
B01125201,empty,N/A,N/A,0,skipped (empty)
B01126505,needs-manual-review,0,10,0.0,needs-manual-review
B01126541,repaired,10,0,20.0,
B01126559,repaired,10,0,20.0,
B01129735,repaired,10,0,20.0,
B01131708,repaired,10,0,20.0,
B01132267,repaired,0,10,0.0,
B01132822,repaired,10,0,20.0,
B01132918,repaired,10,0,20.0,
B01133126,repaired,0,10,0.0,
B01137729,repaired,0,10,0.0,
B01137834,repaired,2,8,4.0,
B01138859,needs-manual-review,0,10,0.0,needs-manual-review
B01140660,repaired,0,10,0.0,
B01142869,repaired,0,10,0.0,
B01143122,repaired,10,0,20.0,
B01143435,repaired,0,10,0.0,
B01143466,repaired,10,0,20.0,
B01144248,repaired,2,8,4.0,
B01144790,repaired,10,0,20.0,
B01145039,repaired,0,10,0.0,
B01146794,repaired,0,10,0.0,
B01150044,pseudocode,N/A,N/A,0,skipped (pseudocode)
B01156268,repaired,10,0,20.0,
B01159005,repaired,10,0,20.0,
B01163705,repaired,0,10,0.0,
B01164020,repaired,10,0,20.0,
B01170355,repaired,10,0,20.0,
B01171535,repaired,10,0,20.0,
B01171723,repaired,10,0,20.0,
B01172719,repaired,10,0,20.0,
